iter	Logloss
0	0.6439143697
1	0.6017351212
2	0.5655318042
3	0.5349246979
4	0.5080835981
5	0.4851542923
6	0.4654740239
7	0.4484659647
8	0.4344914715
9	0.4218416601
10	0.4113754919
11	0.4018011488
12	0.3932956626
13	0.3859995693
14	0.3796478605
15	0.3740557102
16	0.3686407647
17	0.3638653698
18	0.3600293491
19	0.3566697189
20	0.353639167
21	0.3509705432
22	0.3483282924
23	0.3458952423
24	0.343971866
25	0.3422609438
26	0.3405638412
27	0.3389743803
28	0.3376586383
29	0.3364932728
30	0.3354116311
31	0.3342039999
32	0.3333416651
33	0.3324500971
34	0.3315314095
35	0.330649466
36	0.330032749
37	0.3294617482
38	0.3287872465
39	0.3282820118
40	0.3276408634
41	0.3272961097
42	0.3268298063
43	0.3265039153
44	0.3259760401
45	0.3256900573
46	0.3253439517
47	0.3249185652
48	0.3245371911
49	0.3242886955
50	0.3240288746
51	0.3236554777
52	0.3234275961
53	0.3231198866
54	0.3228977422
55	0.322641088
56	0.3223428648
57	0.3220660663
58	0.3218733985
59	0.3217104242
60	0.3215511593
61	0.3213872453
62	0.3211876905
63	0.3209811066
64	0.3208027326
65	0.3206671515
66	0.3205133295
67	0.320327283
68	0.3201735018
69	0.3200144017
70	0.3198875264
71	0.3197610165
72	0.3196254431
73	0.3194923034
74	0.3193517388
75	0.3192314952
76	0.3191057764
77	0.3189669409
78	0.3188523666
79	0.3187407922
80	0.3186396185
81	0.318523735
82	0.318388932
83	0.3182630088
84	0.3181475429
85	0.3180026398
86	0.3178738245
87	0.3177817959
88	0.3176751941
89	0.3175707921
90	0.3174658876
91	0.3173738462
92	0.3172683034
93	0.3171662061
94	0.3170686715
95	0.3169697352
96	0.3168849709
97	0.3167974705
98	0.3167128102
99	0.3166278893
100	0.3165584155
101	0.3164789592
102	0.3163864077
103	0.3162984338
104	0.3162211604
105	0.3161496406
106	0.3160668779
107	0.3159813924
108	0.3158874674
109	0.3158211298
110	0.3157318946
111	0.3156240671
112	0.3155443279
113	0.3154537081
114	0.3153830332
115	0.3153028724
116	0.3152193442
117	0.3151473268
118	0.3150572199
119	0.3149886677
120	0.3149079842
121	0.3148343554
122	0.3147382588
123	0.3146475544
124	0.3145719895
125	0.3145022813
126	0.3144340178
127	0.3143676141
128	0.3142724379
129	0.3142024328
130	0.3141331214
131	0.3140832929
132	0.3140100926
133	0.3139358841
134	0.3138640268
135	0.3137907286
136	0.3137112493
137	0.3136271793
138	0.3135571777
139	0.3134953718
140	0.3134384149
141	0.3133627948
142	0.313310543
143	0.313243945
144	0.3131699679
145	0.3131059767
146	0.3130378814
147	0.3129684968
148	0.3128796475
149	0.3127802571
150	0.3126814261
151	0.3126083024
152	0.3125571164
153	0.3124699705
154	0.3123882079
155	0.3123363903
156	0.3122767476
157	0.3122018467
158	0.3121332605
159	0.3120752627
160	0.3120220472
161	0.3119582464
162	0.3118902775
163	0.3118140693
164	0.3117522416
165	0.3116749451
166	0.3116121077
167	0.3115732699
168	0.3115253533
169	0.3114705721
170	0.3114076955
171	0.3113409611
172	0.3112680312
173	0.311202857
174	0.3111438185
175	0.3110797617
176	0.3110182823
177	0.3109623416
178	0.3108868003
179	0.3108326883
180	0.3107557966
181	0.3106850815
182	0.3106231533
183	0.3105536293
184	0.3105108978
185	0.3104498095
186	0.310377308
187	0.310322506
188	0.3102630194
189	0.3102029034
190	0.310145508
191	0.3100851034
192	0.3100206799
193	0.3099717414
194	0.3099107043
195	0.3098418915
196	0.3097831155
197	0.309721297
198	0.3096545007
199	0.3095683343
200	0.3095132047
201	0.3094651848
202	0.3094013612
203	0.3093611481
204	0.3092998661
205	0.3092453762
206	0.3091846619
207	0.3091322955
208	0.3090745708
209	0.3089995949
210	0.3089382924
211	0.3088909166
212	0.3088401901
213	0.3087797497
214	0.3087276862
215	0.3086614818
216	0.3086101247
217	0.3085506385
218	0.3085071764
219	0.3084474785
220	0.3083876787
221	0.3083419388
222	0.3082660316
223	0.3082148968
224	0.3081757455
225	0.3081335998
226	0.3080781487
227	0.3080204431
228	0.3079691923
229	0.3079049318
230	0.3078527409
231	0.3078056054
232	0.307753732
233	0.3076848848
234	0.3076343125
235	0.3075770858
236	0.3075008817
237	0.3074620878
238	0.3073948336
239	0.3073345479
240	0.3072838463
241	0.3072281115
242	0.3071721206
243	0.3071209562
244	0.3070738914
245	0.3070324108
246	0.3069883507
247	0.3069305546
248	0.3068774683
249	0.3068244139
250	0.3067717942
251	0.3067171988
252	0.3066558076
253	0.3066049494
254	0.3065483543
255	0.3065024628
256	0.3064607537
257	0.3064135308
258	0.3063412181
259	0.3062844155
260	0.3061906507
261	0.3061296193
262	0.3060718544
263	0.3060214797
264	0.3059687617
265	0.3059006193
266	0.3058582393
267	0.3058134746
268	0.3057654759
269	0.3057207819
270	0.3056770253
271	0.3056345724
272	0.3055738624
273	0.3055286625
274	0.3054743922
275	0.3054176259
276	0.305340393
277	0.305285709
278	0.3052298779
279	0.3051997997
280	0.305137193
281	0.3050733559
282	0.3050219639
283	0.3049930562
284	0.3049570312
285	0.3049136758
286	0.3048814644
287	0.3048308106
288	0.3047874418
289	0.3047313342
290	0.3046843532
291	0.3046385616
292	0.3045817927
293	0.3045338776
294	0.3044676554
295	0.3044071106
296	0.304352339
297	0.3043076454
298	0.3042550229
299	0.3042100586
300	0.3041663901
301	0.3041202814
302	0.3040687492
303	0.3040009992
304	0.3039684877
305	0.3039266033
306	0.3038716134
307	0.3038248052
308	0.3037734146
309	0.3037303303
310	0.3036850422
311	0.3036373049
312	0.3036042176
313	0.3035581751
314	0.3035190686
315	0.3034688869
316	0.3034309756
317	0.3033921685
318	0.3033337884
319	0.30330095
320	0.3032527
321	0.3031990701
322	0.3031638971
323	0.3031296709
324	0.3030913437
325	0.3030379729
326	0.3029873983
327	0.3029489556
328	0.3028964367
329	0.3028556727
330	0.3028122895
331	0.3027704313
332	0.3027330855
333	0.3026567367
334	0.3026119065
335	0.3025649114
336	0.3025151095
337	0.3024457106
338	0.3024064114
339	0.3023153688
340	0.3022558693
341	0.3021883061
342	0.3021502383
343	0.3021045089
344	0.3020718517
345	0.3020090961
346	0.3019545041
347	0.3019114158
348	0.3018534019
349	0.3018274935
350	0.3017700581
351	0.301701147
352	0.3016334142
353	0.3015943355
354	0.3015553519
355	0.3014913428
356	0.3014200745
357	0.3013675906
358	0.3013279193
359	0.3012436056
360	0.3011975677
361	0.3011616334
362	0.3011150665
363	0.3010713503
364	0.3010363894
365	0.3009860203
366	0.3009318053
367	0.3008906321
368	0.3008435297
369	0.3007966813
370	0.3007600063
371	0.3007169665
372	0.3006773897
373	0.3006198003
374	0.3005739017
375	0.3005231781
376	0.3004916653
377	0.3004584772
378	0.3004066288
379	0.3003810678
380	0.3003393527
381	0.3003207352
382	0.3002682476
383	0.3002250181
384	0.3001730119
385	0.3001321262
386	0.3000764311
387	0.3000369674
388	0.2999980111
389	0.2999562067
390	0.2998992734
391	0.2998423371
392	0.2997973444
393	0.2997476679
394	0.2997039216
395	0.299654875
396	0.2996152489
397	0.2995772364
398	0.2995383346
399	0.2994969515
400	0.299451889
401	0.2994025406
402	0.2993633622
403	0.2993103177
404	0.2992763046
405	0.2992087451
406	0.2991789501
407	0.2991461293
408	0.2991202436
409	0.2990694046
410	0.299034985
411	0.2989817256
412	0.2989229324
413	0.2988685138
414	0.2988140045
415	0.2987782433
416	0.2987257163
417	0.2986907103
418	0.2986346182
419	0.2985959774
420	0.29854756
421	0.2984967539
422	0.2984545496
423	0.2984014802
424	0.2983685453
425	0.2983238059
426	0.2982608946
427	0.2982174497
428	0.2981700394
429	0.298134053
430	0.2980948062
431	0.2980511405
432	0.2980034112
433	0.2979422679
434	0.2978901653
435	0.2978422656
436	0.2978015149
437	0.2977598372
438	0.2977053651
439	0.2976723519
440	0.2976321432
441	0.2975936328
442	0.297553382
443	0.2975196835
444	0.297464619
445	0.2974246212
446	0.29738515
447	0.2973569909
448	0.2972987563
449	0.2972651104
450	0.2972157679
451	0.2971592722
452	0.2971143477
453	0.2970643772
454	0.2970155654
455	0.2969671891
456	0.2969316596
457	0.2968855233
458	0.2968250801
459	0.2967863498
460	0.2967450335
461	0.2967197448
462	0.296677308
463	0.2966283822
464	0.2965933297
465	0.2965536306
466	0.2965185794
467	0.2964984711
468	0.2964322157
469	0.2963886709
470	0.2963524775
471	0.2963038172
472	0.2962714603
473	0.296229401
474	0.2962024072
475	0.2961720642
476	0.2961283451
477	0.2960918225
478	0.2960559875
479	0.295998964
480	0.2959539077
481	0.2959085637
482	0.2958654036
483	0.2958109928
484	0.2957791818
485	0.2957291997
486	0.2956951966
487	0.2956681967
488	0.2956447048
489	0.2956036536
490	0.2955638526
491	0.295526165
492	0.295491771
493	0.295450172
494	0.2954210311
495	0.2953733987
496	0.2953309725
497	0.295290349
498	0.2952401801
499	0.2952018936
500	0.2951506505
501	0.2951207304
502	0.2950657384
503	0.2950242595
504	0.2949868882
505	0.2949456222
506	0.2948938363
507	0.2948638543
508	0.2948322972
509	0.294802829
510	0.2947548655
511	0.2947023967
512	0.2946559696
513	0.2946338381
514	0.2945900594
515	0.2945229234
516	0.2944786512
517	0.2944454555
518	0.2944028532
519	0.2943552456
520	0.2943338455
521	0.29429082
522	0.2942355289
523	0.2942060791
524	0.2941614161
525	0.2941167612
526	0.2940729514
527	0.2940357113
528	0.2940012613
529	0.2939689458
530	0.2939205862
531	0.2938828469
532	0.2938441573
533	0.2938069029
534	0.2937816304
535	0.2937467317
536	0.2937070345
537	0.2936750473
538	0.2936512849
539	0.2936100315
540	0.2935783188
541	0.2935074899
542	0.2934820595
543	0.293433345
544	0.2933935908
545	0.2933473757
546	0.2933186035
547	0.2932765184
548	0.2932343107
549	0.293197532
550	0.29316237
551	0.2931182352
552	0.2930786081
553	0.2930367789
554	0.293001183
555	0.2929662551
556	0.2929210836
557	0.2928999636
558	0.2928578759
559	0.2928162938
560	0.2927925306
561	0.2927528199
562	0.2927226009
563	0.2926804523
564	0.292627617
565	0.2925768284
566	0.2925498738
567	0.2925160809
568	0.2924784625
569	0.2924300319
570	0.2923936735
571	0.2923437148
572	0.2923009225
573	0.2922718868
574	0.2922332855
575	0.2921832835
576	0.2921471374
577	0.2921139831
578	0.2920699254
579	0.2920285874
580	0.2919959441
581	0.2919678179
582	0.2919353628
583	0.2919117166
584	0.2918630313
585	0.2918380002
586	0.2917906958
587	0.2917519252
588	0.2916984258
589	0.2916699985
590	0.2916265003
591	0.2916015948
592	0.291568244
593	0.2915373171
594	0.2914918684
595	0.291467339
596	0.2914252717
597	0.2913954208
598	0.2913629192
599	0.2913198065
600	0.2912713709
601	0.291238895
602	0.2911997897
603	0.2911443109
604	0.2910871398
605	0.2910545549
606	0.2910131283
607	0.2909757938
608	0.2909357381
609	0.2909135037
610	0.290871942
611	0.2908302247
612	0.2907767845
613	0.2907464636
614	0.2906903067
615	0.2906493303
616	0.2906216375
617	0.2905827489
618	0.2905481496
619	0.2905172047
620	0.290480242
621	0.2904429091
622	0.2904082021
623	0.2903713877
624	0.2903295224
625	0.2902962307
626	0.2902623235
627	0.2902250507
628	0.2901979818
629	0.2901734174
630	0.2901331134
631	0.2901010318
632	0.2900602593
633	0.290036484
634	0.290005129
635	0.2899736622
636	0.2899454157
637	0.2899156346
638	0.289877157
639	0.289843199
640	0.289790853
641	0.28973859
642	0.2897168705
643	0.2896683088
644	0.2896404539
645	0.2896047078
646	0.2895676646
647	0.2895162317
648	0.2894910746
649	0.2894647719
650	0.2894230146
651	0.2893807469
652	0.2893491055
653	0.2893146511
654	0.289281278
655	0.2892327354
656	0.2891903518
657	0.2891481884
658	0.2891056419
659	0.2890638237
660	0.2890275253
661	0.2889854106
662	0.288951514
663	0.2889118385
664	0.2888634434
665	0.2888356237
666	0.2887942153
667	0.2887471438
668	0.2886984792
669	0.2886592073
670	0.2886265201
671	0.2885972849
672	0.2885633627
673	0.2885331125
674	0.2884892397
675	0.288439828
676	0.2883958113
677	0.2883513296
678	0.2883230974
679	0.2882692164
680	0.2882465952
681	0.2881942465
682	0.2881543718
683	0.2881202542
684	0.2880943108
685	0.2880464727
686	0.2880087158
687	0.2879640763
688	0.2879368972
689	0.2879080924
690	0.2878791888
691	0.2878524143
692	0.2878122934
693	0.2877805569
694	0.2877425948
695	0.2877229731
696	0.2876991993
697	0.2876619955
698	0.2876106905
699	0.2875710133
700	0.2875352851
701	0.2874991069
702	0.2874729574
703	0.287430615
